order_date,city,Weather_Type,nonAB_rev,AB_rev,AB_qty,nonAB_qty
12/21/22,Charlotte,Rainy,15.79742269,24.53519882,1.815492616,1.538422337
12/21/22,Sacramento,Rainy,19.19574412,22.47799055,1.673583213,1.775322274
12/22/22,Houston,Moderately Cold,22.42076784,28.65851678,2.137079711,2.174341404
12/22/22,Miami,Moderately Hot,18.33019923,20.88788303,1.609504985,1.584374657
12/22/22,Atlanta,Moderately Cold,15.70576109,23.75196371,1.6857929,1.616050877
12/22/22,New York City,Rainy,20.70173647,33.81772512,2.323153065,1.988163798
12/22/22,Washington,Moderately Cold,28.0694532,35.30908411,2.47884486,2.906152135
12/22/22,Charlotte,Moderately Cold,15.75046058,24.26859638,1.794808786,1.544723894
12/22/22,Tulsa,Outliers,16.13965135,22.22648517,1.6186177,1.752937345
12/22/22,Phoenix,Moderately Hot,17.99246399,24.61572845,1.698836146,1.795917302
12/22/22,Sacramento,Rainy,19.18945982,22.47410332,1.673215423,1.774941231
12/22/22,Austin,Moderately Cold,18.78538912,26.29546215,1.725438086,1.939137964
12/23/22,Washington,Moderately Cold,28.0631689,35.30519687,2.47847707,2.905771092
12/23/22,Sacramento,Rainy,19.18317552,22.47021608,1.672847633,1.774560189
12/23/22,New York City,Super Cold,20.84689878,33.53283139,2.280358779,2.022709164
12/23/22,Houston,Moderately Hot,22.61395949,28.71919756,2.133295839,2.192140864
12/24/22,Washington,Moderately Cold,28.05688461,35.30130964,2.47810928,2.90539005
12/24/22,Miami,Moderately Hot,18.31763064,20.88010856,1.608769404,1.583612572
12/24/22,Atlanta,Moderately Cold,15.6931925,23.74418924,1.685057319,1.615288792
12/24/22,Sacramento,Rainy,19.17689123,22.46632885,1.672479843,1.774179146
12/24/22,Houston,Moderately Hot,22.6076752,28.71531033,2.132928049,2.191759821
12/24/22,New York City,Rainy,20.68916788,33.80995065,2.322417485,1.987401713
12/24/22,Austin,Moderately Hot,18.97229648,26.3522557,1.721286424,1.956556382
